tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1mo,Sports,per_domain,platt,ece,0.0602347753792353,0.0548117154811715,0.005423059898063798,239.0,1.0
1mo,Sports,per_domain,isotonic,ece,0.0262220614865622,0.0548117154811715,-0.0285896539946093,239.0,1.0
1mo,Sports,per_domain,binning10,ece,0.0293905476898898,0.0548117154811715,-0.0254211677912817,239.0,1.0
1mo,Sports,per_domain,venn_abers,ece,0.0400732447812706,0.0548117154811715,-0.014738470699900905,239.0,1.0
1mo,Sports,per_domain,raw,log_loss,0.4894182339787912,0.4894182339787912,0.0,239.0,1.0
1mo,Sports,per_domain,platt,log_loss,0.4919744888862168,0.4894182339787912,0.0025562549074256147,239.0,1.0
1mo,Sports,per_domain,isotonic,log_loss,0.4818432499150935,0.4894182339787912,-0.007574984063697721,239.0,1.0
1mo,Sports,per_domain,binning10,log_loss,0.4973146700413201,0.4894182339787912,0.007896436062528878,239.0,1.0
1mo,Sports,per_domain,venn_abers,log_loss,0.4941024553299007,0.4894182339787912,0.004684221351109519,239.0,1.0
1mo,Weather,per_domain,raw,brier,0.17961764705882352,0.17961764705882352,0.0,85.0,2.0
1mo,Weather,per_domain,platt,brier,0.18282910366004443,0.17961764705882352,0.003211456601220908,85.0,2.0
1mo,Weather,per_domain,isotonic,brier,0.18420565211005832,0.17961764705882352,0.0045880050512348,85.0,2.0
1mo,Weather,per_domain,binning10,brier,0.19378358652079827,0.17961764705882352,0.014165939461974753,85.0,2.0
1mo,Weather,per_domain,venn_abers,brier,0.17873913462676422,0.17961764705882352,-0.000878512432059303,85.0,2.0
1mo,Weather,per_domain,raw,ece,0.15023529411764702,0.15023529411764702,0.0,85.0,2.0
